id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
KABUPATEN_BEKASI,13.75,13.29,36.65,1848.02,13.29,23.71,38.56,Kabupaten Bekasi Sukamahi,Kabupaten Bekasi,Jawa Barat,JAWA,WIB,43.0,2024-02-26,13:00:00
MANADO,19.12,13.1,16.42,122.44,5.1,2.0,5.0,Manado Wanea,Manado,Sulawesi Utara,SULAWESI_MALUKU,WITA,42.0,2024-02-26,13:00:00
KABUPATEN_BULUNGAN,4.9,3.92,5.52,1533.56,23.52,15.58,38.12,Kabupaten Bulungan Tj. Selor Hilir,Kabupaten Bulungan,Kalimantan Utara,KALIMANTAN,WIB,42.0,2024-02-26,13:00:00
KENDARI,19.35,8.85,6.31,2613.04,36.83,67.1,31.33,Kendari Mandonga,Kendari,Sulawesi Tenggara,SULAWESI_MALUKU,WITA,42.0,2024-02-26,14:00:00
PADANG,12.52,12.65,0.0,2174.77,22.48,25.02,15.83,Padang Padang Pasir,Padang,Sumatera Barat,SUMATERA,WIB,41.0,2024-02-26,13:00:00
KABUPATEN_TANJUNGJABUNGTIMUR,12.71,11.81,37.79,2069.02,47.0,44.75,36.77,Kabupaten Tanjabtim Muara Sabak,Kabupaten Tanjung Jabung Timur,Jambi,SUMATERA,WIB,41.0,2024-02-26,13:00:00
BANDUNG,19.75,0.0,6.19,252.58,11.62,0.83,36.38,Bandung Cihapit,Bandung,Jawa Barat,JAWA,WIB,40.0,2024-02-26,13:00:00
AMBON,9.0,7.6,30.58,1290.96,8.46,13.42,35.32,Ambon Gong Perdamaian,Ambon,Maluku,SULAWESI_MALUKU,WIT,39.0,2024-02-26,15:00:00
PAPUA,7.56,9.35,36.81,0.0,218.33,50.88,14.88,Jayapura Abepura,Jayapura,Papua,PAPUA,WIT,35.0,2024-02-26,15:00:00
BANJARMASIN,0.03,10.82,26.74,640.74,46.55,30.05,9.21,Banjarmasin Kayu Tangi,Banjarmasin,Kalimantan Selatan,KALIMANTAN,WITA,35.0,2024-02-26,14:00:00
JAKARTA,24.08,10.81,4.67,1128.78,57.81,18.69,4.79,Jakarta GBK,Jakarta,DKI Jakarta,JAWA,WIB,35.0,2024-02-26,13:00:00
KUPANG,7.04,8.12,34.96,558.94,3.33,,27.56,Kupang Eltari,Kupang,Nusa Tenggara Timur,BALI DAN NUSA TENGGARA,WITA,34.0,2024-02-26,13:00:00
BALIKPAPAN,5.79,6.08,33.5,667.27,54.48,53.77,24.88,Balikpapan Sepinggan,Balikpapan,Kalimantan Timur,KALIMANTAN,WIB,34.0,2024-02-26,14:00:00
PALU,20.42,5.83,7.23,2167.27,9.67,24.62,29.69,Palu Panca Bhakti,Palu,Sulawesi Tengah,SULAWESI_ MALUKU,WITA,33.0,2024-02-26,14:00:00
